id,split,cluster,category,difficulty,query,context,constraints,expected_domain_expert,expected_perspectives,evaluation_tags,rubric_must_cover,rubric_desirable,should_consider_risks,should_show_tradeoffs,should_propose_alternatives,should_include_steps,should_include_metrics,should_acknowledge_uncertainty,reference_outline,notes_for_evaluators,expected_single_model_failure_modes
CMM-011,benchmark,engineering_delivery,public_tech,medium,"Как переработать систему оплаты проезда в городе так, чтобы она была удобной и работала даже при нестабильном интернете?","Часть пассажиров пользуется смартфонами, часть — картами и наличными. Транспорт работает в районах с плохой связью.",Нельзя исключить цифрово уязвимые группы | Система должна быть понятной водителям и пассажирам | Важно не повысить число сбоев при оплате,,engineering | user | risk | strategy,payments | transport | offline | accessibility | public_service,мультиканальность оплаты | offline/poor connectivity | учёт разных групп пассажиров | риски отказов и мошенничества | операционная реализуемость,переходный период | простые пользовательские сценарии | метрики успешной оплаты и жалоб,True,True,True,True,True,False,"Сохранять несколько способов оплаты и не делать смартфон единственной точкой входа. | Продумать offline-first валидацию и последующую синхронизацию. | Упростить тарифную и сценарную логику для пассажиров и водителей. | Учитывать риск сбоев, очередей при посадке и исключения для льготных категорий. | Измерять процент успешных транзакций, время посадки, число жалоб и инцидентов.","Сильный ответ должен учитывать и техническую, и социальную доступность.",игнорирование offline режима | узкий фокус на mobile-app | слабое внимание к доступности
CMM-012,benchmark,engineering_delivery,incident_response,hard,Как школе или колледжу выстроить реагирование на ransomware-инцидент?,"ИТ-отдел маленький, часть систем устарела, а организация хранит чувствительные данные студентов и сотрудников.","Нужны меры до, во время и после инцидента | Нельзя полагаться только на покупку нового софта | Нужно учитывать человеческий фактор",Security,risk | engineering | strategy | domain | user,security | ransomware | education | incident_response | resilience,подготовка и профилактика | реагирование в первые часы | резервное восстановление/continuity | коммуникация | уроки после инцидента,таблица ролей и ответственности | backup drills | сегментация сети,True,False,False,True,False,False,"Сделать подготовительный блок: бэкапы, MFA, обучение, инвентаризация, ответственные роли. | Во время инцидента — изоляция, фиксация, коммуникация, приоритизация критичных сервисов. | Отдельно описать восстановление из резервов и проверку целостности. | Учесть правовые и репутационные аспекты уведомления. | После — postmortem, устранение причин и тренировки.",Ответ должен быть многоэтапным; голая рекомендация 'сделать резервные копии' недостаточна.,фокус только на технике без коммуникации | нет различия до/во время/после | слабая организационная часть
CMM-013,pilot,product_user,product_ux,easy,"Как улучшить UX мобильного приложения банка, если пользователи жалуются на сложность интерфейса?","Частые жалобы на навигацию, перегруженные экраны и непонятные действия в платежах.",Нельзя полностью перестраивать приложение за один релиз | Нужно снизить число ошибок пользователей | Важно не ухудшить безопасность,Finance,user | risk | engineering | domain,ux | banking | mobile | simplicity | safety,ключевые UX-проблемы | приоритизация улучшений | связь UX и безопасности | метрики улучшения | реалистичность по релизам,исследование пользовательских сценариев | снижение когнитивной нагрузки | прототипирование/тестирование,True,True,True,True,True,False,"Сфокусироваться на ключевых сценариях: вход, перевод, шаблоны, подтверждение. | Сократить перегрузку экранов и сделать состояние/следующий шаг очевидными. | Не жертвовать антифрод и подтверждением операций ради 'простоты'. | Проверять изменения через task success rate, время выполнения и число ошибок. | Катить улучшения поэтапно, начиная с самых частых операций.","Хороший ответ не противопоставляет удобство и безопасность, а управляет этим конфликтом.",общие UX-клише | игнорирование безопасности | нет приоритизации сценариев
CMM-014,benchmark,product_user,product_adoption,medium,Как повысить использование корпоративной LMS сотрудниками компании?,"Платформа существует, но сотрудники заходят туда только по принуждению. Руководство хочет реального эффекта, а не формальной посещаемости.",Нельзя просто обязать всех проходить больше курсов | Нужно учитывать разные роли сотрудников | Важно показать ценность для бизнеса и для людей,Education,user | strategy | risk | domain,lms | adoption | corporate_learning | motivation | measurement,"причины низкого adoption | меры по ценности, а не по принуждению | сегментация пользователей | метрики вовлечения и результата | риски формального использования",персонализация | встраивание обучения в рабочий поток | поддержка менеджеров,True,True,True,True,True,False,"Разделить аудитории и причины низкого использования: нет пользы, нет времени, неудобный формат. | Связать контент с реальными задачами ролей и карьерным ростом. | Сделать короткие форматы, рекомендации и поддержку менеджеров. | Измерять completion, повторные заходы, применение навыков, а не только клики. | Указать риск превращения обучения в формальную обязаловку.","Нужен ответ про изменение поведения, а не просто про интерфейс LMS.",делает ставку только на геймификацию | нет бизнес-метрик | нет сегментации ролей
CMM-015,benchmark,product_user,service_ux,medium,"Как улучшить запись пациентов в поликлинике, чтобы сократить очереди и путаницу?","Пациенты жалуются на сложную запись, а сотрудники регистратуры — на хаос в расписании и постоянные звонки.",Нужно учитывать пожилых пациентов и людей без цифровых навыков | Нельзя просто закрыть запись по телефону | Важно не перегрузить врачей,Medicine,user | engineering | risk | domain | strategy,healthcare | appointment | service_design | accessibility | operations,сценарии записи для разных групп | баланс каналов записи | операционные ограничения врачей/регистратуры | риски no-show и путаницы | метрики улучшения,подтверждения и напоминания | триаж/маршрутизация | простая информационная архитектура,True,True,True,True,True,False,"Перестроить запись вокруг понятных сценариев и типов обращений. | Сохранить несколько каналов: телефон, офлайн, digital, но синхронизировать правила. | Добавить напоминания, подтверждения и корректную маршрутизацию. | Учесть перегрузку слотов, no-show и уязвимые группы пациентов. | Мерить время записи, число ошибок, no-show rate и жалобы.",Сильный ответ должен учитывать одновременно UX и операционную реальность медорганизации.,фокус только на приложении | игнорирование пожилых пациентов | нет связи с расписанием врачей
CMM-016,benchmark,product_user,work_policy,medium,"Как внедрить гибридный формат работы в компании, где команды конфликтуют из-за правил присутствия в офисе?","Часть команд хочет свободы, часть — синхронности и личного взаимодействия. Руководство боится падения координации и несправедливости.",Нельзя установить одинаковое правило для всех функций | Нужны понятные и воспринимаемые как честные правила | Важно сохранить продуктивность и культуру взаимодействия,,strategy | user | risk,hybrid_work | policy | fairness | coordination | culture,"разные типы ролей/команд | критерии, а не только жёсткое правило | риски несправедливости и потери координации | механизм пересмотра правил | метрики/сигналы",принципы принятия исключений | core collaboration windows | менеджерская ответственность,True,True,True,True,True,True,"Определить, какие задачи требуют синхронности/офиса, а какие нет. | Установить рамочные принципы и допустимые вариации по функциям. | Ввести правила совместных дней, ожиданий по доступности и критериям исключений. | Отслеживать продуктивность, удовлетворённость, attrition и координационные сбои. | Указать риск восприятия политики как несправедливой.",Хороший ответ должен избегать универсального правила '2-3 дня всем'.,слишком общая политика для всех | нет критериев исключений | игнорирование справедливости восприятия
CMM-017,benchmark,product_user,school_safety,hard,"Как выстроить цифровую систему сообщений о буллинге в школе так, чтобы она реально помогала, а не превращалась в формальность?","Школа хочет дать ученикам безопасный канал обращения, но боится ложных сообщений, утечек и отсутствия доверия к процессу.",Нужно продумать анонимность и верификацию | Важно не ограничиться одним техническим каналом | Нужен маршрут сопровождения случая,Education,user | risk | strategy | domain | engineering,bullying | school | reporting | trust | safeguarding,безопасный канал сообщения | процесс обработки случая | доверие и конфиденциальность | риски ложных и неподтверждённых сообщений | роль взрослых/психологов,альтернативные офлайн каналы | SLA на реакцию | информирование о статусе обращения,True,True,True,True,False,False,"Проектировать не только форму подачи, но и процесс ответа школы. | Сбалансировать анонимность, защиту данных и минимальную верификацию. | Добавить офлайн каналы и доверенных взрослых, а не только 'кнопку в приложении'. | Сделать понятные статусы, сроки реагирования и escalation path. | Указать риск вторичной травматизации и потери доверия при слабой обработке.","Ответ должен быть про safeguarding-процесс, а не просто про интерфейс кнопки.",техноцентричное решение без процесса | нет маршрута поддержки | слабая проработка доверия
CMM-018,benchmark,product_user,accessibility,medium,"Как переработать городской портал услуг так, чтобы он стал реально доступным для людей с разными ограничениями?","На портал жалуются люди с нарушениями зрения, пожилые пользователи и те, кто плохо понимает бюрократический язык.","Нужно учитывать и техническую доступность, и понятность контента | Нельзя переписать все сервисы сразу | Важно выбрать приоритеты",,user | engineering | strategy | risk,accessibility | govtech | content | inclusion | prioritization,техническая доступность | понятность языка/сценариев | приоритизация сервисов | учёт разных групп пользователей | метрики/проверка,аудит критичных пользовательских путей | plain language | тестирование с реальными пользователями,True,True,False,True,True,False,"Начать с аудита критичных сценариев, а не со всего портала сразу. | Комбинировать WCAG/технические требования с упрощением языка и формы. | Приоритизировать сервисы с наибольшей социальной значимостью и частотой использования. | Проверять решения на реальных пользователях разных групп. | Указать риск 'галочной доступности' без фактической понятности.","Сильный ответ связывает accessibility, content design и приоритизацию.",сведение темы только к WCAG | отсутствие приоритизации | нет реальных пользователей в валидации
CMM-019,pilot,education_social,online_learning,easy,"Как сделать онлайн-курс более эффективным, если студенты часто бросают его на середине?","Курс асинхронный, задания длинные, обратная связь редкая. Команда курса не может резко увеличить объём ручной проверки.",Нужно учитывать ограниченность команды | Нельзя просто 'сделать курс короче' без перестройки логики | Важно сохранить качество обучения,Education,user | strategy | risk | domain,course | completion | education | feedback | design,причины низкой доходимости | структурные изменения курса | обратная связь без резкого роста ручной нагрузки | метрики | риски перегрузки,chunking | checkpoint-ы | peer/self assessment,True,True,True,True,True,False,"Разделить причины отвалов: мотивация, перегрузка, неясность, отсутствие ритма. | Изменить структуру на короткие модули и промежуточные checkpoints. | Добавить быструю, масштабируемую обратную связь. | Мерить completion, время до отвала, активность и качество выполнения. | Учесть риск снижения глубины обучения при избыточном упрощении.","Нужна именно логика обучения, а не только советы по мотивации.",советы про 'мотивацию' без дизайна курса | нет масштабируемой обратной связи | нет баланса глубины и простоты
CMM-020,benchmark,education_social,wellbeing,medium,Как компании снизить уровень выгорания сотрудников без популистских мер?,"IT-компания. Высокая нагрузка, много срочных задач, есть недоверие к инициативам HR. Руководство хочет реального эффекта.",Нельзя ограничиться вебинарами и 'днем йоги' | Нужно учитывать менеджерские практики и организационную нагрузку | Важно не разрушить темп бизнеса,,risk | strategy | user,burnout | organization | management | wellbeing | operations,организационные причины выгорания | меры на уровне системы и менеджмента | реалистичные изменения процессов | метрики | риски псевдо-мер,workload review | приоритизация | ретроспективы и сигналы раннего риска,True,True,True,True,True,False,"Связать выгорание с перегрузкой, хаотичной приоритизацией, плохими ожиданиями и нехваткой восстановления. | Предложить изменения в планировании, управлении срочностью и роли менеджеров. | Добавить меры мониторинга нагрузки и red-flag сигналы. | Оценивать текучесть, absenteeism, pulse surveys, переработки и сбои качества. | Отметить риск символических инициатив без изменения системы.","Хороший ответ фокусируется на организационном дизайне, а не на 'самопомощи' сотрудников.",уход в wellness-риторику | нет изменений в процессе работы | не хватает метрик
CMM-021,benchmark,education_social,civic_program,medium,Как городу увеличить участие жителей в раздельном сборе отходов?,"Контейнеры есть не везде, жители путаются в правилах, часть людей не доверяет, что отходы действительно сортируются дальше.",Нельзя полагаться только на штрафы | Нужно учитывать удобство для жителей | Важно показать реальную прозрачность процесса,,user | strategy | risk,waste | city | behavior_change | trust | operations,поведенческие и инфраструктурные барьеры | удобство участия | прозрачность и доверие | поэтапный подход | метрики,сегментация районов | пилотные зоны | простые коммуникации,True,True,True,True,True,False,"Разделить проблему на инфраструктуру, понятность правил и доверие к системе. | Сделать участие удобным: доступность контейнеров, понятная маркировка, простые сценарии. | Показать прозрачность дальнейшей переработки и результаты программы. | Запускать по районам и корректировать по обратной связи. | Измерять участие, contamination rate и доверие жителей.","Сильный ответ должен видеть, что проблема не только в 'осознанности', но и в удобстве и доверии.",морализаторство вместо дизайна системы | игнорирование доверия | нет операционной стороны
CMM-022,benchmark,education_social,education_program_design,hard,"Как community college построить программу адаптации взрослых слушателей, которые возвращаются к обучению после долгого перерыва?","У слушателей разный возраст, работа, семья и неуверенность в собственных учебных навыках. Колледж не может позволить себе дорогие индивидуальные программы для всех.",Нужно сочетать академическую и сервисную поддержку | Нельзя сделать программу чрезмерно ресурсоёмкой | Важно удержание и реальный прогресс слушателей,Education,user | strategy | risk | domain,adult_learning | adaptation | retention | support | program_design,барьеры взрослых слушателей | масштабируемая поддержка | учебная и организационная адаптация | метрики удержания и прогресса | риски стигматизации,orientation modules | peer cohorting | сервис one-stop support,True,True,True,True,True,False,"Выделить барьеры: тайм-менеджмент, цифровые навыки, тревожность, академическая неуверенность. | Сделать короткий адаптационный контур и понятную навигацию по сервисам. | Комбинировать групповую поддержку и targeted help для групп риска. | Отслеживать retention, completion, запросы помощи и удовлетворённость. | Указать риск стигматизации и перегрузки сервисов.","Важно показать понимание специфики взрослой аудитории, а не только универсальных мер поддержки.",смешение взрослой и традиционной студенческой аудитории | нет масштабируемости | общие советы без сервиса
CMM-023,benchmark,education_social,student_support,hard,"Как университету выстроить программу поддержки ментального здоровья студентов, если ресурсов мало, а запрос высокий?","На консультации длинные очереди. Студенты хотят быстрый доступ к помощи, но часть запросов требует профессионального сопровождения.",Нельзя обещать всем быструю индивидуальную терапию | Важно не перепутать низкорисковые и кризисные случаи | Нужен этичный и безопасный контур помощи,Education,risk | user | strategy | domain,mental_health | students | triage | support | resource_constraints,многоуровневая система поддержки | триаж/маршрутизация | границы сервиса | ресурсные ограничения | риски безопасности,peer support под надзором | self-help для низкорисковых кейсов | кризисные протоколы,True,True,True,True,False,False,"Развести уровни: self-help, группы, краткие консультации, кризисный маршрут. | Сделать triage и критерии эскалации к профессиональной помощи. | Ограничить обещания сервиса реальными ресурсами и SLA. | Подумать о конфиденциальности, очередях и риске пропуска кризисов. | Не подменять профессиональную помощь общими wellness-активностями.","Сильный ответ видит, что ключ — в маршрутизации и безопасных границах, а не в 'больше психологов'.",обещания недостижимого уровня сервиса | нет triage | смешение кризисной и некризисной помощи
CMM-024,benchmark,education_social,community_safety,medium,"Как району запустить инициативу по повышению чувства безопасности жителей, не скатываясь в чрезмерное наблюдение?","Жители жалуются на небезопасные зоны вечером. Часть местных лидеров предлагает массовое видеонаблюдение, другие опасаются вторжения в частную жизнь.","Нужно учитывать и реальную, и воспринимаемую безопасность | Нельзя делать ставку только на камеры | Нужен диалог с жителями",,risk | strategy | user,safety | privacy | community | urban | trust,альтернативы тотальному наблюдению | учёт восприятия жителей | баланс безопасности и приватности | участие сообщества | метрики/сигналы,"освещение, средовой дизайн, патрулирование, работа с маршрутами | пилотные зоны | механизм обратной связи",True,True,True,True,True,False,"Разделить источники риска: среда, социальные факторы, информация/коммуникация. | Рассмотреть средовые и организационные меры до усиления наблюдения. | Если технологии используются, чётко ограничить цель, данные и контроль. | Вовлечь жителей в определение проблемных точек и оценку эффекта. | Измерять обращения, субъективное чувство безопасности и побочные эффекты.","Хороший ответ показывает, что безопасность — это не только технологии слежения.",простое 'поставить камеры' | нет приватности и контроля | отсутствие community engagement
CMM-025,pilot,ethics_regulation,ai_governance,medium,"Можно ли использовать данные пользователей для обучения ИИ, если явного согласия на это не было?",Компания уже собрала много пользовательских данных для работы сервиса и хочет использовать их для внутреннего улучшения модели.,"Нужно учитывать не только юридический, но и этический аспект | Важно оценить риски доверия и репутации | Нужны варианты действий, а не только запрет/разрешение",Law,risk | user | strategy | domain,privacy | consent | ai_governance | ethics | trust,этический и правовой контур | риски доверия | варианты действий/альтернативы | ограничения на использование данных | принципы управления,де-идентификация | opt-in/opt-out | purpose limitation | data minimization,True,True,True,False,False,True,"Нельзя рассматривать отсутствие явного согласия как только техническую деталь; это вопрос доверия и правомерности. | Сравнить сценарии: не использовать, использовать только с дополнительными гарантиями, перевести на opt-in/notice/consent модель. | Обсудить минимизацию данных, де-идентификацию, ограничения целей и контроль доступа. | Показать репутационные и продуктовые последствия даже при формально допустимом сценарии. | Сделать вывод осторожным и условным, а не бинарным.","Ожидается сбалансированный, а не категоричный ответ; он должен видеть и доверие пользователей, и практику управления данными.",слишком бинарный ответ | игнорирование доверия | нет альтернативной политики использования данных
CMM-026,stress_test,ethics_regulation,medical_ai,hard,Стоит ли внедрять ИИ в медицинскую диагностику для первичного анализа снимков?,"Клиника хочет ускорить работу врачей, но опасается ошибок, смещения и юридической ответственности. Врачи не готовы передавать принятие решений алгоритму.","Нельзя рассматривать ИИ как полностью автономное решение | Нужно учесть качество, ответственность и workflow | Важно различать помощь врачу и замену врача",Medicine,risk | domain | strategy | engineering | user,medical_ai | diagnostics | responsibility | workflow | bias,роль ИИ как assistive tool vs autonomy | качество/валидация | ответственность и human oversight | встраивание в workflow | риски смещения и ложных решений,поэтапное внедрение | калибровка под локальные данные | мониторинг после запуска,True,True,True,True,True,True,"Определить узкий сценарий помощи врачу, а не замену решения врача. | Требовать валидацию на локальном контуре и мониторинг ошибок/смещения. | Продумать объяснимость, роль врача и фиксацию ответственности. | Запускать поэтапно и смотреть на workflow, а не только на метрику модели. | Указать клинические, юридические и репутационные риски.","Это стресс-тест на баланс пользы, безопасности, ответственности и ограничений внедрения.",технооптимизм | путаница между assistive и autonomous AI | слабая работа с ответственностью
